city,property_type,area_sqft,bedrooms,bathrooms,age_years,floor,parking,furnished,facing,road_width,location_score,nearby_schools,nearby_hospital,nearby_metro,price
Bangalore,Villa,1404,1,4,2,5,2,Unfurnished,South,33,7.1,1,1,2,31579081
Kolkata,Farm,2494,4,2,23,27,1,Unfurnished,East,82,7.1,2,4,2,16003753
Chennai,Office,3671,4,3,27,20,3,Furnished,North-East,69,3.4,8,4,0,59764858
Jaipur,Farm,4922,2,2,9,16,3,Semi-Furnished,East,35,4.0,3,2,1,23836637
Kolkata,House,609,3,3,8,8,1,Furnished,East,18,5.9,4,0,1,8960987
Delhi,Office,1287,2,2,12,18,0,Semi-Furnished,North-East,29,2.8,8,3,2,30676376
Hyderabad,Commercial,553,1,2,15,17,1,Semi-Furnished,North-East,65,1.2,6,3,2,10354798
Jaipur,Villa,3993,4,2,2,24,0,Unfurnished,South-West,45,6.1,7,3,2,45270468
Delhi,House,814,2,1,21,22,3,Semi-Furnished,South-West,45,5.2,2,1,0,17780398
Surat,Commercial,3824,2,3,22,4,2,Furnished,West,82,6.9,3,4,1,42934801
Jaipur,Farm,1684,2,1,14,27,1,Furnished,South-East,31,2.3,6,4,2,9366262
Surat,Office,3548,1,2,16,5,3,Furnished,South-East,10,8.6,3,4,1,38525424
Chennai,Villa,1168,3,4,13,11,2,Semi-Furnished,West,78,2.3,1,0,2,20566535
Delhi,House,1382,2,1,6,10,3,Furnished,East,82,9.0,9,4,1,32178742
Hyderabad,Commercial,3602,1,3,19,15,1,Semi-Furnished,East,46,5.0,5,4,2,52741733
Kolkata,Commercial,3926,4,2,15,19,1,Furnished,North,92,5.9,8,1,0,55981387
Ahmedabad,Villa,3187,5,1,20,16,2,Furnished,North,81,9.1,1,2,2,45548642
Bangalore,Industrial,2610,1,4,7,19,1,Semi-Furnished,South-East,22,3.7,0,3,2,48094675
Mumbai,Farm,1438,5,1,3,8,3,Furnished,West,93,2.6,7,1,2,25912651
Hyderabad,Villa,4332,2,3,19,0,2,Unfurnished,North-West,52,5.0,0,1,2,64024716
Delhi,Commercial,941,2,1,23,25,2,Semi-Furnished,South-West,46,3.2,0,1,2,25287594
Ahmedabad,Apartment,758,1,4,14,2,3,Semi-Furnished,North-West,83,5.8,2,3,1,7290798
Hyderabad,House,1249,5,4,4,20,0,Semi-Furnished,West,34,3.5,4,1,1,16926278
Delhi,Villa,4922,2,3,12,22,2,Unfurnished,North,97,8.8,8,2,0,125161519
Pune,Industrial,2944,4,4,5,8,0,Semi-Furnished,South-East,30,6.5,9,4,2,38308623
Pune,Commercial,4981,3,2,27,21,3,Furnished,South-East,50,1.0,1,2,1,95569542
Surat,Farm,2231,3,4,26,18,3,Furnished,North,82,8.2,0,4,1,13721679
Hyderabad,Commercial,1872,2,2,29,12,2,Furnished,North-West,51,4.0,0,4,2,29240331
Pune,Farm,1836,5,1,4,22,1,Semi-Furnished,South,51,3.9,7,1,2,17051433
Delhi,Villa,729,2,2,16,13,2,Furnished,South,11,4.4,9,1,0,21834826
Surat,Farm,4754,5,2,6,19,1,Semi-Furnished,North,77,6.7,9,3,0,26623968
Delhi,Office,4638,4,1,5,18,0,Furnished,South,17,5.0,9,0,1,116210242
Surat,Office,4408,5,4,1,29,1,Unfurnished,North-East,70,6.7,1,2,0,43024920
Hyderabad,Office,1788,2,2,10,22,2,Unfurnished,West,23,2.3,8,3,1,22350446
Ahmedabad,Industrial,4585,4,4,6,26,1,Unfurnished,West,86,9.7,8,3,0,42933041
Kolkata,Industrial,1119,1,1,21,26,3,Unfurnished,North,30,7.6,1,2,2,12529055
Jaipur,Apartment,3635,3,3,20,6,0,Semi-Furnished,East,33,3.3,2,2,0,21993784
Ahmedabad,Industrial,4976,2,4,7,3,3,Furnished,South-West,59,7.5,1,4,1,44651125
Chennai,Villa,2531,2,4,4,11,3,Unfurnished,North-West,91,6.2,5,0,0,47668275
Delhi,Commercial,1500,2,3,26,22,3,Semi-Furnished,North,54,2.0,6,1,1,36364407
Chennai,Commercial,1072,4,3,17,26,3,Unfurnished,South,73,2.6,5,0,1,17609993
Ahmedabad,Apartment,916,1,1,21,13,1,Unfurnished,North-West,73,1.4,2,0,0,6403234
Surat,Industrial,2932,5,4,15,1,3,Semi-Furnished,East,35,8.3,2,1,0,25362887
Jaipur,Farm,4070,1,4,13,0,1,Semi-Furnished,South,41,6.0,1,0,1,17856138
Jaipur,Apartment,1181,4,1,11,27,3,Furnished,South-East,66,3.9,1,3,2,9041352
Mumbai,Farm,3923,2,4,16,17,2,Furnished,South-West,62,2.1,4,3,0,59452162
Jaipur,Farm,3958,3,2,4,19,3,Unfurnished,North-East,42,5.4,7,1,1,19466684
Kolkata,House,2786,2,2,13,7,2,Unfurnished,South,61,5.7,5,1,2,26659468
Jaipur,Commercial,1989,5,2,5,2,1,Furnished,North-East,27,7.3,8,2,1,25202863
Ahmedabad,Office,1901,3,4,14,25,0,Furnished,North-West,44,9.7,4,2,0,25467303
Mumbai,Industrial,4194,2,2,6,5,1,Semi-Furnished,North-East,21,4.9,9,0,1,99590743
Ahmedabad,Farm,4718,3,2,13,21,0,Furnished,North-West,60,4.7,3,0,1,25556873
Ahmedabad,House,3480,1,1,17,12,0,Furnished,North-West,98,4.3,8,1,1,36037475
Bangalore,Commercial,1476,4,1,0,8,3,Unfurnished,North-West,19,8.4,9,0,0,32297370
Mumbai,Office,1500,2,3,5,8,0,Furnished,North-West,61,2.4,4,4,2,48849083
Ahmedabad,Farm,902,5,3,2,19,1,Unfurnished,North-West,43,4.1,0,3,2,8037002
Bangalore,Farm,1739,1,3,4,8,3,Furnished,South,76,7.5,4,0,2,19731318
Bangalore,Apartment,4285,2,3,11,14,0,Semi-Furnished,North-West,48,1.1,4,0,2,55008619
Mumbai,Apartment,1023,1,1,10,12,1,Furnished,South,17,3.6,4,2,0,21722395
Chennai,Commercial,2286,5,1,12,21,0,Furnished,North-West,38,6.8,1,4,1,39944144
Surat,Office,3750,2,1,15,15,0,Furnished,North-East,31,2.7,5,0,2,40119350
Kolkata,Farm,1450,5,2,17,1,3,Unfurnished,South-East,93,3.7,4,3,2,9901991
Surat,Commercial,4172,3,2,16,25,3,Semi-Furnished,North-West,79,5.4,1,0,0,43994601
Jaipur,Commercial,4316,5,3,16,13,1,Furnished,East,70,4.8,9,1,1,48771896
Kolkata,Villa,4418,3,2,28,26,3,Unfurnished,North-West,52,2.0,7,4,1,62171610
Jaipur,Industrial,1729,2,4,10,5,3,Semi-Furnished,North-West,58,9.4,5,0,2,14442894
Ahmedabad,Apartment,4514,3,1,19,1,2,Unfurnished,North-East,38,1.4,9,4,2,33498294
Delhi,Office,3767,2,3,9,7,2,Unfurnished,South-West,90,7.7,2,0,1,84632991
Mumbai,Farm,4351,2,3,28,3,1,Semi-Furnished,West,40,1.6,8,3,0,55585597
Kolkata,Commercial,2897,4,4,15,20,3,Furnished,North-East,62,5.2,3,3,1,39923805
Kolkata,Farm,1973,2,2,1,23,1,Unfurnished,East,43,2.6,2,4,1,12558526
Ahmedabad,Villa,3034,3,3,16,13,2,Unfurnished,West,47,2.3,6,2,2,34789242
Chennai,Office,3168,4,2,21,10,2,Furnished,North,66,2.1,7,2,0,50667486
Bangalore,Commercial,1611,4,2,29,23,2,Furnished,North,13,5.1,6,1,0,38301571
Ahmedabad,Farm,1175,2,4,19,27,1,Semi-Furnished,South-West,11,5.6,0,2,0,7200221
Pune,Apartment,1560,5,3,9,13,3,Semi-Furnished,East,21,2.2,0,4,2,17987690
Bangalore,Industrial,2783,5,2,12,11,0,Semi-Furnished,North-East,44,9.8,4,2,0,45506493
Mumbai,Villa,3054,4,2,11,15,3,Furnished,South,79,3.3,7,1,0,129320907
Bangalore,Office,3940,2,4,14,5,1,Unfurnished,East,81,5.1,9,0,2,70917445
Chennai,Villa,1495,5,4,6,19,2,Unfurnished,South-East,30,2.9,2,2,1,26395015
Bangalore,Apartment,423,2,2,26,0,0,Semi-Furnished,West,70,5.4,7,4,0,6395042
Mumbai,Office,3956,2,4,21,11,1,Furnished,West,44,7.8,2,4,1,134998238
Chennai,Villa,1479,4,2,20,6,2,Unfurnished,North-West,57,5.7,3,1,0,23677388
Surat,House,4718,4,3,25,7,1,Semi-Furnished,North,24,3.6,9,1,1,41893171
Kolkata,Apartment,578,1,1,27,8,0,Unfurnished,South-West,80,3.2,6,3,1,4839302
Kolkata,Apartment,3247,5,4,12,1,2,Unfurnished,West,24,7.8,2,3,2,25587178
Jaipur,Apartment,2360,5,1,11,16,3,Furnished,East,15,2.1,3,3,2,16888608
Surat,House,1873,5,2,11,19,1,Furnished,West,90,4.3,7,0,0,19371621
Surat,House,1612,3,2,27,12,0,Unfurnished,South-West,77,2.4,3,4,0,12931385
Bangalore,Farm,1209,2,2,1,4,3,Semi-Furnished,South-West,31,3.3,8,3,2,13302613
Kolkata,Commercial,819,4,1,4,9,0,Furnished,South-West,41,2.4,3,4,0,11006163
Mumbai,Industrial,4059,5,2,24,11,1,Unfurnished,East,31,9.0,3,1,0,82096382
Hyderabad,Villa,4216,1,4,24,16,0,Furnished,South,36,7.6,4,0,2,73026081
Hyderabad,Farm,1678,5,3,1,20,2,Furnished,North-West,24,6.0,0,1,1,15262366
Chennai,Villa,2923,2,3,22,5,0,Furnished,North,53,3.0,6,4,0,64509804
Kolkata,Industrial,1840,2,4,25,2,1,Unfurnished,West,95,5.6,8,3,2,18592512
Kolkata,Commercial,1740,4,3,29,27,2,Semi-Furnished,East,18,5.7,8,1,0,22064572
Hyderabad,House,2621,3,1,19,14,0,Semi-Furnished,North-East,43,6.3,0,2,0,27124831
Kolkata,Commercial,2792,4,2,12,6,0,Semi-Furnished,North,82,1.5,5,0,2,35840783
Bangalore,House,1761,5,2,28,29,2,Furnished,South,24,9.8,2,4,2,32617904
Pune,Industrial,991,1,2,2,5,3,Unfurnished,East,71,5.2,3,3,0,13739182
Delhi,Commercial,926,4,1,10,3,3,Furnished,South-East,54,9.3,7,1,0,28079968
Surat,Farm,2903,3,1,15,18,2,Semi-Furnished,South-East,93,1.1,3,0,1,14888062
Jaipur,Office,1692,4,1,0,4,0,Semi-Furnished,North-West,81,3.2,7,3,1,16641250
Chennai,Farm,2054,2,4,18,2,3,Unfurnished,North-West,67,1.9,3,1,2,13537447
Pune,Villa,587,5,1,10,25,2,Furnished,South,28,7.9,8,4,0,16014059
Hyderabad,Farm,3158,5,3,8,24,1,Semi-Furnished,South,25,3.9,5,2,2,22429297
Surat,Industrial,928,5,4,13,8,0,Unfurnished,North-West,84,8.6,0,2,2,10904178
Kolkata,Apartment,833,5,4,8,5,1,Furnished,West,17,8.5,9,4,0,8872686
Jaipur,Villa,3912,5,4,6,12,0,Furnished,West,42,7.0,1,0,1,47889526
Kolkata,Commercial,2204,5,1,15,26,3,Semi-Furnished,East,83,7.0,6,4,2,31567628
Mumbai,Villa,702,1,4,2,21,1,Semi-Furnished,North-East,27,7.3,9,1,2,26943738
Mumbai,Office,4582,3,1,28,27,1,Furnished,East,44,7.1,6,0,0,132610880
Jaipur,House,837,5,1,18,29,2,Furnished,North-East,52,4.5,2,2,1,9296525
Jaipur,Commercial,2988,3,4,3,19,3,Semi-Furnished,South,59,7.1,0,1,1,31277523
Hyderabad,Villa,1232,5,2,6,3,3,Furnished,North,12,9.1,7,3,0,23276003
Jaipur,Commercial,1196,4,2,22,1,0,Semi-Furnished,East,68,4.0,9,3,2,13411773
Bangalore,Commercial,959,5,4,27,25,2,Furnished,East,37,9.5,9,3,0,26146706
Kolkata,Commercial,3988,2,2,11,3,2,Semi-Furnished,North-East,55,1.1,6,2,0,47275727
Pune,House,1161,1,3,29,7,0,Unfurnished,South-West,73,4.1,9,4,1,17403358
Ahmedabad,Industrial,3974,4,3,17,12,1,Semi-Furnished,South,79,2.2,7,0,2,34779770
Jaipur,Farm,4185,4,1,27,9,0,Semi-Furnished,South,56,2.1,0,2,2,18399472
Chennai,Commercial,2914,2,2,4,17,0,Unfurnished,South-East,23,8.3,2,1,1,44449804
Mumbai,Apartment,1084,5,3,22,8,0,Furnished,South-West,16,9.3,1,1,2,25541364
Bangalore,Industrial,4633,1,4,22,29,2,Unfurnished,North-East,83,8.0,0,3,2,71721488
Surat,Office,977,4,2,21,0,0,Semi-Furnished,South,88,9.8,4,0,0,11655037
Ahmedabad,House,627,1,3,25,12,0,Furnished,South-West,40,2.9,2,3,0,6678955
Pune,Villa,2728,4,3,9,17,0,Unfurnished,North-West,90,2.3,9,1,0,42997404
Ahmedabad,House,3131,5,4,11,14,3,Furnished,South-West,60,5.7,7,1,2,35352748
Jaipur,Villa,1227,4,1,7,1,1,Furnished,West,38,8.5,5,4,2,15626706
Hyderabad,House,830,4,4,18,10,1,Unfurnished,South-East,24,1.4,9,4,2,10745724
Mumbai,Villa,1463,3,1,14,28,1,Furnished,North-West,99,10.0,8,4,2,51784170
Mumbai,Commercial,2109,5,3,0,13,1,Unfurnished,North,85,6.4,8,3,1,70416361
Surat,Farm,1634,2,1,2,21,2,Semi-Furnished,East,34,9.8,5,0,1,10949738
Hyderabad,Villa,701,2,3,26,14,2,Furnished,South-East,70,4.3,1,4,2,13470483
Kolkata,Villa,1820,5,3,17,13,0,Semi-Furnished,North,50,5.1,8,2,0,28373193
Delhi,Apartment,1168,2,2,17,15,2,Semi-Furnished,East,78,7.8,1,4,0,20120977
Bangalore,Villa,1804,5,1,29,22,1,Furnished,West,13,8.1,2,3,1,47485340
Mumbai,Apartment,843,2,1,29,28,3,Unfurnished,South-West,66,3.1,5,0,1,17192086
Chennai,Office,3504,3,1,1,14,0,Furnished,South,40,9.4,1,4,2,56940674
Mumbai,Commercial,4755,2,4,4,18,0,Semi-Furnished,North-West,12,8.8,4,0,2,137992626
Ahmedabad,Apartment,3705,4,2,28,26,1,Semi-Furnished,North-East,76,1.2,1,2,2,28492795
Mumbai,Farm,1938,5,2,0,8,1,Unfurnished,North-West,99,2.2,3,1,2,27565635
Mumbai,Industrial,4330,1,2,9,4,1,Furnished,West,59,5.5,2,0,2,99957456
Delhi,Commercial,1731,1,4,19,4,2,Semi-Furnished,North,26,5.1,4,4,0,43268637
Delhi,Apartment,469,5,1,29,10,0,Semi-Furnished,North-East,69,7.4,5,3,0,8807255
Pune,Commercial,3835,3,1,9,27,1,Semi-Furnished,South,83,1.8,6,3,2,73196746
Kolkata,Commercial,880,2,1,4,19,3,Unfurnished,West,75,6.8,9,3,0,13439050
Chennai,Commercial,4494,3,2,17,24,0,Semi-Furnished,North-East,97,6.5,7,3,2,67060628
Mumbai,Office,3896,1,2,20,23,0,Semi-Furnished,West,84,3.1,8,0,2,102363562
Mumbai,Farm,3193,5,3,25,27,2,Furnished,South-West,33,5.9,3,3,1,52274621
Bangalore,House,3292,5,4,14,3,0,Furnished,West,96,3.0,3,1,0,60814399
Delhi,House,1598,3,4,19,19,1,Semi-Furnished,South,41,2.3,6,2,0,30918736
Chennai,Apartment,2772,3,2,7,17,1,Semi-Furnished,South-East,96,6.2,9,0,1,28405138
Surat,Commercial,2292,2,3,16,24,3,Furnished,East,28,9.8,9,0,0,30279515
Pune,Apartment,2283,4,1,11,2,0,Unfurnished,North-East,75,3.1,8,3,1,25610233
Kolkata,Office,1197,4,2,20,3,0,Unfurnished,South-West,69,4.2,1,3,0,14687327
Hyderabad,Office,417,2,4,29,13,2,Unfurnished,South,75,3.3,5,0,2,6846931
Kolkata,Villa,443,4,4,29,6,1,Unfurnished,West,24,3.4,9,3,1,6977194
Ahmedabad,Office,554,1,4,26,25,3,Unfurnished,South-West,94,4.6,9,3,2,9097529
Mumbai,Villa,3848,4,1,11,7,1,Unfurnished,South,44,7.3,7,3,2,125389628
Pune,Farm,4480,2,4,25,23,0,Unfurnished,South-East,78,1.3,4,3,0,33937195
Ahmedabad,Apartment,1825,4,1,0,15,0,Unfurnished,South-West,36,9.6,4,3,1,16416697
Chennai,Industrial,4720,5,1,25,19,3,Furnished,South-West,97,1.4,7,4,2,61476655
Hyderabad,Farm,4712,3,1,25,14,0,Unfurnished,East,16,8.9,0,4,2,27000725
Delhi,Office,4039,1,2,3,6,3,Unfurnished,North-West,15,9.0,5,4,1,85010303
Pune,Farm,4526,5,1,7,25,3,Unfurnished,North-East,42,5.7,9,0,0,36337047
Pune,Farm,2292,5,3,0,16,1,Semi-Furnished,East,67,2.2,8,2,2,21151066
Mumbai,Farm,1297,2,4,26,21,3,Furnished,North,58,6.1,5,0,0,22183075
Jaipur,Office,3824,3,2,14,21,0,Furnished,North-East,26,6.7,6,4,1,41290537
Pune,Industrial,4940,3,4,17,21,2,Furnished,East,51,8.7,3,0,0,67580763
Bangalore,Commercial,1658,1,1,0,11,2,Unfurnished,West,81,6.0,9,2,1,37503427
Hyderabad,Farm,2415,2,2,10,17,0,Unfurnished,North-East,49,4.7,0,3,0,14537743
Hyderabad,Villa,2102,1,3,22,23,2,Semi-Furnished,North-East,55,8.5,8,1,0,35219405
Bangalore,Office,1273,4,1,1,13,2,Furnished,South,80,9.8,5,4,2,34676029
Surat,Farm,965,5,4,0,14,3,Unfurnished,West,79,6.8,2,4,0,8285462
Bangalore,Industrial,2418,1,3,11,14,2,Furnished,North,77,8.9,3,2,2,39487274
Bangalore,Commercial,2285,5,1,15,4,2,Semi-Furnished,North-West,10,6.4,9,3,1,48039829
Hyderabad,Office,2523,2,3,21,15,2,Semi-Furnished,South-West,88,7.2,5,3,1,38251373
Kolkata,House,2714,4,1,21,4,1,Semi-Furnished,South-East,98,7.2,5,1,2,28256615
Hyderabad,Commercial,4812,2,2,9,1,0,Furnished,East,61,7.3,8,3,0,77899660
Jaipur,Villa,4283,4,1,17,19,3,Unfurnished,South,44,3.9,3,2,1,42739716
Mumbai,Farm,3592,4,2,14,27,2,Unfurnished,East,78,6.2,4,3,1,47862606
Ahmedabad,Industrial,2259,5,1,16,24,0,Semi-Furnished,North,14,6.3,4,2,1,20967604
Kolkata,House,424,2,1,29,8,2,Unfurnished,South-West,26,3.8,2,4,2,5672555
Delhi,Industrial,3903,2,4,9,21,1,Semi-Furnished,North,62,4.1,1,4,1,70479054
Ahmedabad,House,4655,1,3,2,26,1,Furnished,North-East,61,7.9,7,4,1,44403275
Mumbai,Office,1537,2,3,25,8,2,Semi-Furnished,South-East,23,6.2,9,0,1,50761160
Jaipur,House,1589,1,3,29,3,2,Furnished,North,38,2.3,8,4,1,14220468
Jaipur,Villa,4496,3,1,20,14,2,Semi-Furnished,East,17,8.5,9,2,2,51353608
Delhi,Villa,3557,3,1,15,10,1,Unfurnished,West,10,8.9,8,1,2,85069569
Kolkata,Apartment,2767,3,1,5,0,1,Unfurnished,West,38,5.2,4,3,0,21654537
Surat,Villa,4877,2,2,2,17,0,Semi-Furnished,North-East,45,2.9,8,4,1,58050555
Bangalore,Commercial,2141,2,2,8,28,3,Unfurnished,North-West,60,9.5,3,0,2,42894630
Kolkata,House,4088,1,4,10,0,3,Unfurnished,East,46,8.9,1,0,0,40680531
Surat,Villa,4146,4,1,20,7,1,Unfurnished,East,78,3.2,2,2,0,42227905
Jaipur,Office,1297,1,3,12,24,3,Furnished,North,62,1.9,0,1,1,13651927
Hyderabad,Industrial,4423,3,3,17,15,2,Unfurnished,South-East,61,5.0,4,4,0,47552746
Mumbai,Industrial,1116,1,4,25,25,0,Furnished,East,97,7.1,0,4,2,29192111
Delhi,Apartment,4367,4,3,21,27,1,Semi-Furnished,South,92,2.6,0,0,0,64425464
Mumbai,Industrial,4421,2,4,27,21,1,Unfurnished,North-West,21,5.6,6,2,0,97565680
Chennai,House,3615,1,1,23,17,3,Unfurnished,North,61,4.8,1,0,2,43260718
Chennai,Apartment,790,3,3,26,21,2,Unfurnished,South,10,9.0,7,0,0,9714371
Kolkata,House,4284,3,1,21,8,0,Semi-Furnished,North-East,16,4.9,5,1,0,42337897
Jaipur,Office,2099,2,2,3,11,3,Furnished,West,26,5.8,3,2,0,20762733
Jaipur,Apartment,3437,1,3,21,18,1,Furnished,North-East,52,9.6,8,1,0,23175007
Bangalore,Farm,632,4,2,23,24,1,Unfurnished,West,80,3.7,9,2,1,7561061
Bangalore,Commercial,2326,2,3,7,17,3,Semi-Furnished,North-East,26,3.6,7,4,1,48687296
Bangalore,Commercial,3531,1,1,12,26,2,Semi-Furnished,East,68,8.2,9,3,2,75243892
Hyderabad,House,3706,5,4,9,4,0,Semi-Furnished,South,12,3.5,2,3,0,43114837
Ahmedabad,Industrial,3124,3,1,1,26,0,Semi-Furnished,West,38,8.5,2,2,2,25866726
Pune,Farm,633,4,1,7,1,0,Semi-Furnished,North,31,1.9,3,3,1,6688649
Ahmedabad,Apartment,1791,4,1,5,6,0,Furnished,South,47,2.0,8,0,0,15083880
Mumbai,Farm,3292,4,3,15,26,2,Furnished,North,63,9.1,8,4,0,48644313
Ahmedabad,Farm,1655,3,4,17,9,1,Furnished,South,59,5.9,4,4,1,11764505
Hyderabad,Industrial,2938,1,2,16,14,1,Unfurnished,South,78,7.5,8,3,0,27315651
Mumbai,Apartment,4090,2,1,5,24,0,Semi-Furnished,North-East,39,3.0,5,2,0,73076204
Ahmedabad,Office,1289,1,3,12,6,0,Unfurnished,West,32,2.5,7,0,1,15305354
Hyderabad,Industrial,1145,2,2,22,27,0,Semi-Furnished,West,94,8.5,7,2,2,14814183
Pune,Farm,2119,4,1,13,4,3,Furnished,South-East,99,4.2,9,3,2,19544904
Ahmedabad,Farm,827,1,2,29,14,3,Unfurnished,South,56,5.1,6,4,0,5276319
Hyderabad,Office,1131,4,1,25,19,1,Furnished,East,30,1.3,3,4,1,16937623
Bangalore,Farm,1199,5,2,20,27,1,Semi-Furnished,East,29,4.5,3,2,2,13489266
Jaipur,Farm,4697,4,2,29,19,0,Semi-Furnished,North,32,7.9,5,1,2,21905571
Bangalore,Farm,1235,4,4,9,14,3,Semi-Furnished,North,77,8.4,8,2,0,14571976
Jaipur,Commercial,534,2,4,23,9,2,Furnished,North-East,30,7.3,6,1,2,7988279
Delhi,Industrial,2938,5,1,10,23,3,Semi-Furnished,South,30,7.2,4,2,1,55018147
Delhi,Villa,4118,4,3,12,25,1,Furnished,North,10,5.6,4,1,2,117481432
Delhi,Industrial,440,4,4,11,28,3,Unfurnished,North,24,5.8,7,1,1,10440786
Pune,Office,3767,5,2,8,25,1,Semi-Furnished,North-West,26,7.7,5,1,1,67096729
Bangalore,Farm,2815,5,4,3,13,0,Semi-Furnished,South,60,3.2,0,1,0,28212927
Jaipur,Industrial,2440,1,4,6,25,2,Semi-Furnished,South-West,72,3.1,0,0,2,20704887
Hyderabad,Commercial,4739,2,1,23,25,0,Unfurnished,North-East,23,9.5,8,1,0,62791022
Mumbai,Office,3349,5,4,28,9,0,Semi-Furnished,North,68,1.2,7,1,2,97855992
Hyderabad,House,4661,5,4,21,16,2,Furnished,North-East,92,2.3,5,4,0,57731068
Mumbai,Industrial,3866,3,2,1,20,2,Furnished,West,59,6.1,0,0,0,104614736
Chennai,House,3488,5,4,6,13,2,Semi-Furnished,North-East,43,7.6,1,1,0,45329777
Hyderabad,Farm,1515,2,2,28,1,1,Semi-Furnished,South-West,15,5.8,9,3,2,10005442
Ahmedabad,Commercial,4978,4,4,8,15,0,Unfurnished,East,58,4.2,2,0,0,55449722
Ahmedabad,Commercial,2990,4,4,4,12,1,Unfurnished,South-West,15,9.8,9,4,1,34953081
Kolkata,Industrial,3973,4,3,14,26,2,Unfurnished,East,78,7.3,2,2,2,37663026
Bangalore,Office,3378,4,4,17,8,1,Semi-Furnished,North-East,16,8.5,1,4,1,68977575
Mumbai,Office,2847,3,2,3,6,2,Unfurnished,East,86,1.4,1,4,0,76721199
Mumbai,Commercial,1630,5,2,18,15,3,Unfurnished,West,60,3.1,5,0,0,48620899
Bangalore,Office,3066,4,1,19,9,2,Furnished,South,10,4.4,6,0,1,64282766
Pune,Commercial,4658,1,1,25,23,0,Unfurnished,East,22,2.6,3,3,0,79993631
Kolkata,Industrial,2994,4,3,6,21,0,Furnished,East,52,1.7,0,3,2,31729741
Pune,Villa,3830,5,2,25,8,0,Furnished,North-East,36,3.0,5,0,1,81281598
Pune,Commercial,3317,4,2,7,21,1,Unfurnished,West,80,5.8,6,0,2,53395110
Pune,House,3352,3,2,16,22,0,Furnished,South-East,12,7.3,3,0,2,54602217
Bangalore,Office,2395,2,3,12,6,2,Semi-Furnished,South-East,67,8.0,5,2,2,49426316
